umberto_i_of_italy	cause_of_death	tyrannicide	1.449	3.0
umberto_i_of_italy	cause_of_death	cerebral_aneurysm	-1.763	3.0
john_glenn_beall_jr	nationality	united_states	-0.315	3.0
john_glenn_beall_jr	nationality	ancient_greece	-2.005	3.0
john_atkinson_grimshaw	gender	male	-0.685	3.0
john_atkinson_grimshaw	gender	female	-0.852	3.0
hardinge_giffard_1st_earl_of_halsbury	gender	male	-0.36	3.0
hardinge_giffard_1st_earl_of_halsbury	gender	female	-1.16	3.0
mike_von_erich	nationality	united_states	-0.651	3.0
mike_von_erich	nationality	serbia	-1.417	3.0
gilbert_carlton_walker	nationality	united_states	-0.515	3.0
gilbert_carlton_walker	nationality	barbados	-0.783	3.0
jorge_gonzalez_camarena	gender	male	-0.897	3.0
jorge_gonzalez_camarena	gender	female	-1.11	3.0
phil_walden	gender	male	-0.57	3.0
phil_walden	gender	female	-1.315	3.0
henry_john_heinz	nationality	germany	-2.701	3.0
henry_john_heinz	nationality	mesopotamia	-1.529	3.0
ernest_lundeen	profession	politician	-1.895	3.0
ernest_lundeen	profession	engineer	-4.884	3.0
robert_preston_1918	nationality	united_states	-0.761	3.0
robert_preston_1918	nationality	korean_people	-1.756	3.0
hugo_von_mohl	profession	botanist	-1.728	3.0
hugo_von_mohl	profession	entrepreneur	-4.215	3.0
william_grant_stairs	profession	engineer	-4.523	3.0
william_grant_stairs	profession	truck_driver	-2.021	3.0
john_beradino	gender	male	-0.419	3.0
john_beradino	gender	female	-0.697	3.0
cyril_hume	profession	writer	-4.195	3.0
cyril_hume	profession	prime_minister_of_israel	-1.796	3.0
shobhna_samarth	gender	female	-1.147	3.0
shobhna_samarth	gender	male	-0.634	3.0
joan_chamberlain	gender	female	-1.091	3.0
joan_chamberlain	gender	male	-0.56	3.0
charles_pomeroy_stone	nationality	united_states	-0.712	3.0
charles_pomeroy_stone	nationality	paraguay	-1.511	3.0
hyrum_smith	institution	dartmouth_college	-1.652	3.0
hyrum_smith	institution	williams_college	-2.169	3.0
barbara_hutton	cause_of_death	myocardial_infarction	-2.246	3.0
barbara_hutton	cause_of_death	helicopter_crash	-1.218	3.0
tony_hancock	profession	comedian	-1.1	3.0
tony_hancock	profession	surgeon	-1.87	3.0
branwell_bronte	ethnicity	irish_community_in_britain	0.243	3.0
branwell_bronte	ethnicity	samoan_american	-1.783	3.0
garret_hobart	cause_of_death	cardiovascular_disease	-1.655	3.0
garret_hobart	cause_of_death	cyanide_poisoning	-2.272	3.0
wong_jim	profession	film_director	0.261	3.0
wong_jim	profession	multi-instrumentalist	-0.239	3.0
anton_raaff	gender	male	-0.531	3.0
anton_raaff	gender	female	-1.25	3.0
thomas_elyot	profession	lexicographer	-0.842	3.0
thomas_elyot	profession	philologist	-1.208	3.0
carsten_olsen	profession	scientist	-4.238	3.0
carsten_olsen	profession	arranger	-1.996	3.0
mel_torme	nationality	united_states	-0.728	3.0
mel_torme	nationality	indonesia	-2.073	3.0
martin_l_clardy	profession	lawyer	-1.478	3.0
martin_l_clardy	profession	bookmaker	-1.464	3.0
george_krauss	nationality	germany	-0.962	3.0
george_krauss	nationality	danish_people	-2.198	3.0
may_crommelin	profession	writer	-0.969	3.0
may_crommelin	profession	wrestler	-3.163	3.0
reginald_victor_jones	profession	physicist	-4.573	3.0
reginald_victor_jones	profession	banker	-5.321	3.0
edward_heath	gender	male	-0.389	3.0
edward_heath	gender	female	-1.359	3.0
ilan_ramon	ethnicity	israelis	1.436	3.0
ilan_ramon	ethnicity	baltic_german	-2.071	3.0
firaq_gorakhpuri	profession	orator	1.237	3.0
firaq_gorakhpuri	profession	cowboy	-1.276	3.0
mak_dizdar	profession	writer	-1.438	3.0
mak_dizdar	profession	stock_trader	-1.444	3.0
george_monro_grant	gender	male	-0.796	3.0
george_monro_grant	gender	female	-2.319	3.0
samuel_scheidt	gender	male	-0.909	3.0
samuel_scheidt	gender	female	-1.16	3.0
stark_young	nationality	united_states	-1.053	3.0
stark_young	nationality	ukraine	-2.091	3.0
antoine_furetiere	gender	male	-0.447	3.0
antoine_furetiere	gender	female	-0.836	3.0
ossie_davis	ethnicity	african_american	-1.486	3.0
ossie_davis	ethnicity	tatars	-0.606	3.0
lloyd_wright	nationality	united_states	-0.986	3.0
lloyd_wright	nationality	palestinian_people	-2.536	3.0
delazon_smith	profession	journalist	-3.81	3.0
delazon_smith	profession	investment_banking	-0.423	3.0
sergey_muromtsev	nationality	russia	0.245	3.0
