umberto_i_of_italy	cause_of_death	tyrannicide	2.3600351810455322
umberto_i_of_italy	cause_of_death	cerebral_aneurysm	-6.179966926574707
john_glenn_beall_jr	nationality	united_states	-2.1102488040924072
john_glenn_beall_jr	nationality	ancient_greece	-6.874488353729248
john_atkinson_grimshaw	gender	male	-3.1150379180908203
john_atkinson_grimshaw	gender	female	-3.580305576324463
hardinge_giffard_1st_earl_of_halsbury	gender	male	-2.2301175594329834
hardinge_giffard_1st_earl_of_halsbury	gender	female	-4.4511566162109375
mike_von_erich	nationality	united_states	-3.0205845832824707
mike_von_erich	nationality	serbia	-5.186432838439941
gilbert_carlton_walker	nationality	united_states	-2.646139621734619
gilbert_carlton_walker	nationality	barbados	-3.386033535003662
jorge_gonzalez_camarena	gender	male	-3.7078661918640137
jorge_gonzalez_camarena	gender	female	-4.310873985290527
phil_walden	gender	male	-2.7966582775115967
phil_walden	gender	female	-4.8962202072143555
henry_john_heinz	nationality	germany	-8.881725311279297
henry_john_heinz	nationality	mesopotamia	-5.5099382400512695
ernest_lundeen	profession	politician	-6.559873580932617
ernest_lundeen	profession	engineer	-15.192522048950195
robert_preston_1918	nationality	united_states	-3.323833465576172
robert_preston_1918	nationality	korean_people	-6.1601881980896
hugo_von_mohl	profession	botanist	-6.081043720245361
hugo_von_mohl	profession	entrepreneur	-13.255398750305176
william_grant_stairs	profession	engineer	-14.147693634033203
william_grant_stairs	profession	truck_driver	-6.920614719390869
john_beradino	gender	male	-2.3855557441711426
john_beradino	gender	female	-3.1477596759796143
cyril_hume	profession	writer	-13.196392059326172
cyril_hume	profession	prime_minister_of_israel	-6.273550510406494
shobhna_samarth	gender	female	-4.413976669311523
shobhna_samarth	gender	male	-2.9737842082977295
joan_chamberlain	gender	female	-4.25571870803833
joan_chamberlain	gender	male	-2.7710213661193848
charles_pomeroy_stone	nationality	united_states	-3.190349817276001
charles_pomeroy_stone	nationality	paraguay	-5.457111835479736
